2021-02-02 08:29:32 [scrapy.utils.log] INFO: Scrapy 2.4.1 started (bot: school_scraper)
2021-02-02 08:29:32 [scrapy.utils.log] INFO: Versions: lxml 4.6.2.0, libxml2 2.9.10, cssselect 1.1.0, parsel 1.6.0, w3lib 1.22.0, Twisted 20.3.0, Python 3.9.1 (default, Dec  8 2020, 07:51:42) - [GCC 10.2.0], pyOpenSSL 20.0.1 (OpenSSL 1.1.1i  8 Dec 2020), cryptography 3.3.1, Platform Linux-4.19.128-microsoft-standard-x86_64-with-glibc2.31
2021-02-02 08:29:32 [scrapy.utils.log] DEBUG: Using reactor: twisted.internet.epollreactor.EPollReactor
2021-02-02 08:29:32 [scrapy.crawler] INFO: Overridden settings:
{'BOT_NAME': 'school_scraper',
 'LOG_FILE': 'logs/school_scraper/get_kv/aa8e50fe650211eba4c100155d31bcd3.log',
 'NEWSPIDER_MODULE': 'school_scraper.spiders',
 'SPIDER_MODULES': ['school_scraper.spiders']}
2021-02-02 08:29:32 [scrapy.extensions.telnet] INFO: Telnet Password: bca00176fc340a4c
2021-02-02 08:29:32 [scrapy.middleware] INFO: Enabled extensions:
['scrapy.extensions.corestats.CoreStats',
 'scrapy.extensions.telnet.TelnetConsole',
 'scrapy.extensions.memusage.MemoryUsage',
 'scrapy.extensions.logstats.LogStats']
2021-02-02 08:29:32 [scrapy.middleware] INFO: Enabled downloader middlewares:
['scrapy.downloadermiddlewares.httpauth.HttpAuthMiddleware',
 'scrapy.downloadermiddlewares.downloadtimeout.DownloadTimeoutMiddleware',
 'scrapy.downloadermiddlewares.defaultheaders.DefaultHeadersMiddleware',
 'scrapy.downloadermiddlewares.useragent.UserAgentMiddleware',
 'scrapy.downloadermiddlewares.retry.RetryMiddleware',
 'scrapy.downloadermiddlewares.redirect.MetaRefreshMiddleware',
 'scrapy.downloadermiddlewares.httpcompression.HttpCompressionMiddleware',
 'scrapy.downloadermiddlewares.redirect.RedirectMiddleware',
 'scrapy.downloadermiddlewares.cookies.CookiesMiddleware',
 'scrapy.downloadermiddlewares.httpproxy.HttpProxyMiddleware',
 'scrapy.downloadermiddlewares.stats.DownloaderStats']
2021-02-02 08:29:32 [scrapy.middleware] INFO: Enabled spider middlewares:
['scrapy.spidermiddlewares.httperror.HttpErrorMiddleware',
 'scrapy.spidermiddlewares.offsite.OffsiteMiddleware',
 'scrapy.spidermiddlewares.referer.RefererMiddleware',
 'scrapy.spidermiddlewares.urllength.UrlLengthMiddleware',
 'scrapy.spidermiddlewares.depth.DepthMiddleware']
2021-02-02 08:29:32 [scrapy.middleware] INFO: Enabled item pipelines:
[]
2021-02-02 08:29:32 [scrapy.core.engine] INFO: Spider opened
2021-02-02 08:29:32 [scrapy.extensions.logstats] INFO: Crawled 0 pages (at 0 pages/min), scraped 0 items (at 0 items/min)
2021-02-02 08:29:32 [scrapy.extensions.telnet] INFO: Telnet console listening on 127.0.0.1:6023
2021-02-02 08:29:34 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://babugarhcantt.kvs.ac.in> (referer: None)
2021-02-02 08:29:34 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://sarsawa.kvs.ac.in> (referer: None)
2021-02-02 08:29:34 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://aligarh.kvs.ac.in/> (referer: None)
2021-02-02 08:29:34 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://afschandinagar.kvs.ac.in/> (referer: None)
2021-02-02 08:29:34 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://babinacantt.kvs.ac.in> (referer: None)
2021-02-02 08:29:34 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://crpframpur.kvs.ac.in> (referer: None)
2021-02-02 08:29:34 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://no1agracantt.kvs.ac.in> (referer: None)
2021-02-02 08:29:34 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://bulandshahar.kvs.ac.in> (referer: None)
2021-02-02 08:29:34 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://baolibaghpat.kvs.ac.in> (referer: None)
2021-02-02 08:29:34 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://etawa.kvs.ac.in/> (referer: None)
2021-02-02 08:29:34 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://etah.kvs.ac.in> (referer: None)
2021-02-02 08:29:34 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://hathras.kvs.ac.in> (referer: None)
2021-02-02 08:29:34 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://dlmeerutcantt.kvs.ac.in/> (referer: None)
2021-02-02 08:29:34 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://lalitpur.kvs.ac.in> (referer: None)
2021-02-02 08:29:35 [scrapy.dupefilters] DEBUG: Filtered duplicate request: <GET https://babugarhcantt.kvs.ac.in/about-us/principal-message> - no more duplicates will be shown (see DUPEFILTER_DEBUG to show all duplicates)
2021-02-02 08:29:36 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://greaternoida.kvs.ac.in/> (referer: None)
2021-02-02 08:29:36 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://ghaziabad.kvs.ac.in> (referer: None)
2021-02-02 08:29:36 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://mathurabaad.kvs.ac.in/> (referer: None)
2021-02-02 08:29:36 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://mahoba.kvs.ac.in> (referer: None)
2021-02-02 08:29:37 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://babugarhcantt.kvs.ac.in/administration/committees> (referer: https://babugarhcantt.kvs.ac.in)
2021-02-02 08:29:37 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://babugarhcantt.kvs.ac.in/administration/teacher-vacancy> (referer: https://babugarhcantt.kvs.ac.in)
2021-02-02 08:29:37 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://mathuracantt.kvs.ac.in> (referer: None)
2021-02-02 08:29:37 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://babugarhcantt.kvs.ac.in/administration/staff-member> (referer: https://babugarhcantt.kvs.ac.in)
2021-02-02 08:29:37 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://babugarhcantt.kvs.ac.in/administration/monthly-salary> (referer: https://babugarhcantt.kvs.ac.in)
2021-02-02 08:29:37 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://babugarhcantt.kvs.ac.in/administration/vmc-member> (referer: https://babugarhcantt.kvs.ac.in)
2021-02-02 08:29:38 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://bulandshahar.kvs.ac.in/terms-conditions-1086> (referer: https://bulandshahar.kvs.ac.in)
2021-02-02 08:29:39 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://babugarhcantt.kvs.ac.in/academics/teacher-achievement> (referer: https://babugarhcantt.kvs.ac.in)
2021-02-02 08:29:39 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://ghaziabad.kvs.ac.in/enrolment-statistics/student-vacancy> (referer: https://ghaziabad.kvs.ac.in)
